subj,Age,Sex,trial,resp,evidence,Confidence,criterion_fluctuations
953958,21,0,84,0,-8,4,0.18946683
953958,21,0,85,0,-32,4,0.16997075
953958,21,0,86,1,48,4,0.24340811
953958,21,0,87,1,32,5,0.32693774
953958,21,0,88,1,64,5,0.36885983
953958,21,0,89,0,-40,4,0.3680209
953958,21,0,90,1,16,4,0.4526252
953958,21,0,91,1,-8,4,0.53130484
953958,21,0,92,0,-40,5,0.48723048
953958,21,0,93,1,-16,4,0.54050624
953958,21,0,94,1,56,4,0.44862577
953958,21,0,95,1,32,4,0.39937657
953958,21,0,96,0,-64,4,0.31618986
953958,21,0,97,0,16,5,0.26642832
953958,21,0,98,1,16,4,0.25960538
953958,21,0,99,1,56,4,0.23303328
953958,21,0,100,1,40,3,0.17684788
953958,21,0,101,1,16,3,0.1102939
953958,21,0,102,0,-24,4,0.012492993
953958,21,0,103,0,-64,5,-0.0748724
953958,21,0,104,0,-40,5,-0.1379443
953958,21,0,105,0,-32,5,-0.22431743
953958,21,0,106,0,-16,4,-0.22869714
953958,21,0,107,1,48,5,-0.21965356
953958,21,0,108,0,-16,4,-0.30016682
953958,21,0,109,0,-56,4,-0.2871265
953958,21,0,110,1,48,4,-0.27237356
953958,21,0,111,1,-16,3,-0.335611
953958,21,0,112,0,-32,3,-0.47633404
953958,21,0,113,1,24,4,-0.5209678
953958,21,0,114,0,-56,4,-0.7118205
953958,21,0,115,0,24,4,-0.8583266
953958,21,0,116,0,8,3,-0.8802447
953958,21,0,117,1,48,4,-0.99244124
953958,21,0,118,0,64,2,-1.071485
953958,21,0,119,0,-48,3,-1.0030707
953958,21,0,120,0,8,4,-1.0248233
953958,21,0,121,0,-40,4,-1.0310404
953958,21,0,122,1,32,4,-0.976822
953958,21,0,123,0,24,4,-0.9782104
953958,21,0,124,0,-8,5,-0.90309465
953958,21,0,125,1,56,4,-0.92640305
953958,21,0,126,0,-48,5,-0.9328093
953958,21,0,127,1,64,5,-0.8488757
953958,21,0,128,0,-48,4,-0.85469466
953958,21,0,129,0,40,3,-0.82265
953958,21,0,130,0,-48,6,-0.7031702
953958,21,0,131,0,40,3,-0.67544764
953958,21,0,132,1,8,4,-0.49286795
953958,21,0,133,1,-24,3,-0.41144544
953958,21,0,134,0,-8,3,-0.44010502
953958,21,0,136,1,64,4,-0.3551331
954010,22,0,1,0,-56,1,-1.0897661
954010,22,0,2,0,-56,6,-1.0768782
954010,22,0,3,0,64,5,-0.9734553
954010,22,0,4,0,24,4,-0.8709241
954010,22,0,5,0,-24,5,-0.7369149
954010,22,0,6,0,56,5,-0.73370504
954010,22,0,7,0,32,4,-0.5812096
954010,22,0,9,0,-40,5,-0.4047347
954010,22,0,10,1,40,3,-0.28536218
954010,22,0,11,1,16,5,-0.20465946
954010,22,0,12,1,40,4,-0.13236254
954010,22,0,13,1,8,5,-0.073587835
954010,22,0,14,0,8,3,-0.11917274
954010,22,0,15,1,32,5,-0.097119465
954010,22,0,16,1,64,6,-0.035499826
954010,22,0,17,0,-56,2,-0.07862932
954010,22,0,18,0,-40,6,-0.10627308
954010,22,0,19,1,32,6,-0.12620491
954010,22,0,20,0,-64,6,-0.17375979
954010,22,0,21,0,8,4,-0.27500138
954010,22,0,22,0,48,3,-0.26019534
954010,22,0,23,0,-16,5,-0.19837065
954010,22,0,24,1,-32,5,-0.058965318
954010,22,0,25,0,-48,5,-0.060157016
954010,22,0,26,0,-8,1,-0.06945956
954010,22,0,27,1,-8,3,0.037373804
954010,22,0,28,0,-56,5,0.028102431
954010,22,0,29,1,-24,5,0.013029767
954010,22,0,30,0,16,4,0.025972968
954010,22,0,31,1,40,4,0.04475333
954010,22,0,32,1,56,6,0.076426
954010,22,0,33,1,56,6,0.032105695
954010,22,0,34,1,64,6,0.11193947
954010,22,0,35,0,-48,3,0.1297947
954010,22,0,36,1,-40,4,0.16385359
954010,22,0,37,0,-16,4,0.052926715
954010,22,0,38,1,40,6,0.03813014
954010,22,0,39,0,-40,2,-0.03617472
954010,22,0,40,0,-32,5,-0.070806585
954010,22,0,42,0,8,5,-0.073852785
954010,22,0,43,1,24,2,-0.058778048
954010,22,0,44,0,-48,5,-0.15528278
954010,22,0,46,0,-8,6,-0.15707046
954010,22,0,47,0,-8,5,-0.14917295
954010,22,0,48,1,16,6,-0.021778146
954010,22,0,49,1,48,6,0.01362337
954010,22,0,50,1,24,6,0.07297399
954010,22,0,51,0,-48,5,0.122912854
954010,22,0,52,1,32,6,0.16777481
954010,22,0,54,1,64,5,0.18740362
954010,22,0,55,1,16,5,0.14021415
954010,22,0,56,1,48,6,0.10728101
954010,22,0,57,0,-64,6,0.03850522
954010,22,0,58,1,56,6,0.034566667
954010,22,0,59,0,-24,3,0.00055701734
954010,22,0,60,1,24,6,-0.028217312
954010,22,0,61,0,-16,6,-0.005138227
954010,22,0,62,1,-32,2,0.027566291
954010,22,0,63,0,-32,6,-0.0734093
954010,22,0,64,0,-24,6,-0.10593917
954010,22,0,65,0,-64,6,-0.13979049
954010,22,0,66,0,-16,6,-0.10809845
954010,22,0,67,0,-64,6,-0.1696561
954010,22,0,68,1,48,6,-0.150467
954010,22,0,69,1,48,6,-0.16401175
954010,22,0,70,0,-8,4,-0.20358282
954010,22,0,71,1,24,6,-0.12837031
954010,22,0,72,0,-56,6,-0.16713077
954010,22,0,73,0,16,4,-0.21930668
954010,22,0,74,0,-40,5,-0.23176955
954010,22,0,75,1,8,6,-0.13733856
954010,22,0,76,0,-32,5,-0.117287196
954010,22,0,77,0,-8,6,-0.17272441
954010,22,0,78,0,-32,6,-0.1675954
954010,22,0,79,1,64,5,-0.17880374
954010,22,0,80,0,-40,5,-0.044929933
954010,22,0,81,1,32,5,0.022855926
954010,22,0,82,1,48,6,0.00023414892
954010,22,0,83,1,32,5,-0.034865897
954010,22,0,84,1,24,5,-0.050240394
954010,22,0,85,0,48,3,-0.14183812
954010,22,0,86,0,-64,6,-0.059311945
954010,22,0,87,1,40,6,-0.053481612
954010,22,0,88,0,-16,6,-0.031886145
954010,22,0,89,0,-48,6,0.049551338
954010,22,0,90,1,40,6,0.10501336
954010,22,0,91,1,8,6,0.07718174
954010,22,0,92,1,32,6,0.10129474
954010,22,0,93,1,64,6,0.114138834
954010,22,0,94,0,-64,6,0.1234318
954010,22,0,95,1,24,5,0.133162
954010,22,0,96,0,-48,6,0.1409606
954010,22,0,97,1,32,6,0.13817132
954010,22,0,98,0,-40,3,0.17142636
954010,22,0,99,1,16,6,0.2582791
954010,22,0,100,1,8,6,0.25460547
954010,22,0,101,1,56,6,0.28689498
954010,22,0,102,0,-64,6,0.228169
954010,22,0,103,0,-24,6,0.2430936
954010,22,0,104,1,-8,6,0.25360408
954010,22,0,105,1,64,6,0.28464174
954010,22,0,106,0,-56,6,0.31138384
954010,22,0,107,1,-24,6,0.31286576
954010,22,0,108,0,-16,5,0.26595742
954010,22,0,109,1,-40,6,0.30280858
954010,22,0,110,1,16,4,0.2993631
954010,22,0,111,1,64,4,0.1464165
954010,22,0,112,0,-64,6,0.022070203
954010,22,0,113,0,-32,5,-0.06304
954010,22,0,114,0,-8,5,-0.12821715
954010,22,0,115,0,-24,5,-0.07124987
954010,22,0,116,1,56,5,-0.050830547
954010,22,0,118,0,-16,5,-0.0444854
954010,22,0,119,0,-56,5,0.050809525
954010,22,0,120,1,40,6,-0.004285165
954010,22,0,121,1,24,5,0.023153704
954010,22,0,122,0,-24,5,0.025715517
954010,22,0,123,1,56,6,-0.030082418
954010,22,0,124,1,-16,5,-0.051814925
954010,22,0,125,0,40,3,-0.10548557
954010,22,0,126,1,-32,4,-0.08786665
954010,22,0,127,0,-56,6,-0.12313819
954010,22,0,128,0,48,6,-0.10460266
954010,22,0,129,0,-48,6,-0.08549176
954010,22,0,130,1,8,6,-0.023881406
954010,22,0,131,1,16,5,0.024267549
954010,22,0,132,0,-48,5,0.0379585
954010,22,0,133,1,56,6,0.046067216
954564,20,0,1,1,56,6,0.5917558
954564,20,0,2,1,40,6,0.5994368
954564,20,0,3,0,-16,4,0.4867068
954564,20,0,4,1,-8,4,0.52074945
954564,20,0,5,0,32,4,0.57800555
954564,20,0,6,1,-32,4,0.6779464
954564,20,0,7,1,-24,5,0.6351317
954564,20,0,8,1,-64,5,0.648294
954564,20,0,9,0,-40,4,0.57284844
954564,20,0,10,1,-32,5,0.61061084
954564,20,0,11,0,-56,3,0.5376575
954564,20,0,12,1,32,5,0.5251135
954564,20,0,13,1,48,6,0.55069125
954564,20,0,14,0,-40,3,0.5376979
954564,20,0,15,1,-16,4,0.5487648
954564,20,0,16,1,-32,4,0.5081257
954564,20,0,17,0,-48,4,0.42417815
954564,20,0,18,0,8,2,0.40647885
954564,20,0,19,1,64,3,0.46140906
954564,20,0,20,1,-24,5,0.48743793
954564,20,0,21,0,-40,4,0.47876847
954564,20,0,22,1,-56,4,0.5196262
954564,20,0,23,1,48,6,0.5496256
954564,20,0,24,0,-48,5,0.47856167
954564,20,0,25,1,56,6,0.5403037
954564,20,0,26,1,8,6,0.5706916
954564,20,0,27,1,64,6,0.5670662
954564,20,0,28,1,16,5,0.53519285
954564,20,0,30,0,-56,6,0.517136
954564,20,0,31,1,40,6,0.56254953
954564,20,0,32,1,-48,4,0.47743437
954564,20,0,33,0,-32,5,0.35655594
954564,20,0,34,1,-8,6,0.33368137
954564,20,0,36,1,8,6,0.21940066
954564,20,0,37,0,16,5,0.13582818
954564,20,0,38,0,-8,5,0.14667732
954564,20,0,39,0,32,5,0.16804335
954564,20,0,40,1,-64,6,0.3199894
954564,20,0,41,0,-64,5,0.27055207
954564,20,0,42,1,24,6,0.31348363
954564,20,0,43,0,-24,6,0.26517066
954564,20,0,44,1,48,6,0.30802777
954564,20,0,45,1,24,6,0.2167955
954564,20,0,46,1,8,6,0.17407231
954564,20,0,47,1,40,6,0.11924595
954564,20,0,48,0,32,6,0.030363804
954564,20,0,49,0,56,5,-0.026705723
954564,20,0,50,0,-64,6,0.04499553
954564,20,0,51,1,-16,6,0.16500261
954564,20,0,52,1,-48,1,0.23495497
954564,20,0,53,1,24,6,0.26097918
954564,20,0,54,1,16,6,0.25377756
954564,20,0,55,0,-24,6,0.18781798
954564,20,0,56,1,-16,6,0.16052434
954564,20,0,57,1,24,6,0.1560021
954564,20,0,59,0,40,6,0.03737164
954564,20,0,60,1,64,6,0.007726002
954564,20,0,61,1,48,6,-0.046490587
954564,20,0,62,0,16,6,-0.047795903
954564,20,0,63,0,-40,6,-0.0016502262
954564,20,0,64,0,-56,6,0.059994783
954564,20,0,65,1,-8,6,0.11940777
954564,20,0,67,1,64,6,0.043386072
954564,20,0,68,1,56,6,0.032053098
954564,20,0,69,1,48,6,0.058300152
954564,20,0,70,0,40,6,0.08125109
954564,20,0,71,1,64,6,0.1460237
954564,20,0,72,1,48,6,0.090549946
954564,20,0,73,0,-40,6,0.03682376
954564,20,0,74,1,32,6,0.10297613
954564,20,0,75,1,56,6,0.073436454
954564,20,0,76,0,-48,6,0.060611594
954564,20,0,77,1,56,6,0.051257662
954564,20,0,78,1,48,6,0.014355005
954564,20,0,79,0,-16,6,-0.03571679
954564,20,0,80,1,64,6,-0.12362972
954564,20,0,81,0,-24,6,-0.16635126
954564,20,0,83,1,8,6,-0.17687656
954564,20,0,84,0,8,6,-0.23566616
954564,20,0,85,0,-40,6,-0.26915088
954564,20,0,86,1,24,6,-0.25552276
954564,20,0,87,0,-48,6,-0.32138646
954564,20,0,88,0,-56,6,-0.33552036
954564,20,0,89,0,-24,6,-0.30512702
