correlation_w0,correlation_w1,correlation_w2,correlation_mu_x,correlation_a,correlation_sigmasq,mean_correlation_states,median_correlation_states
0.9510643315537972,0.9645715111120281,0.964407019488425,0.5058895665734154,0.4080344430130856,0.4592273020720638,0.76692164,0.7981533
0.9691477977873222,0.965391905715052,0.9672366881173962,0.48608689756416795,0.42338198315582193,0.3912571817691398,0.75168574,0.7818584
0.9616027026150629,0.9645066577837259,0.9633811577498251,0.41108697126113186,0.41110171065392787,0.5252836596143585,0.7585602,0.77548426
0.9680956999295457,0.9605228946988298,0.9532033122363489,0.4615558313459718,0.4001320649594519,0.43324823790559125,0.7632948,0.80274296
0.963627010821662,0.9619526158000393,0.9564268174408287,0.526263239659579,0.43069213240691334,0.38945573318161575,0.75713295,0.7967205
0.9650894533748787,0.965282539420506,0.9642095116249588,0.47697677366483204,0.42680004834520835,0.39303711084318166,0.7592759,0.78568846
0.9663343424904265,0.9627358671332173,0.9647940759432474,0.4850843240661857,0.38254502147529523,0.4401294708263197,0.77009314,0.7873021
0.9651893864580354,0.9548305412010247,0.9666367948305999,0.427954437588989,0.4027842712991595,0.41880481211695997,0.76972604,0.8036653
0.9718117956412667,0.9689718094373382,0.9642737753775493,0.4959493200718103,0.4320764561783113,0.48505042346275495,0.7591035,0.78891766
0.9624684945478985,0.9633183679365145,0.9625693119946229,0.4967638189177158,0.42255451364425584,0.43231110731162314,0.7527773,0.790035
0.9588965500977221,0.9621424591792516,0.9605582692415403,0.47044427477765627,0.37679105731560275,0.462789223735139,0.74633753,0.7726027
0.9648892924207093,0.9646761608008795,0.9628873880911601,0.5102306125396857,0.41922034649514645,0.4557732727642551,0.7633236,0.7972591
0.9641154742989206,0.9611003841085762,0.9689278860468062,0.44101295003051044,0.38947017778655585,0.35814248276228006,0.7641064,0.79674464
0.9655395944308677,0.9662747953435309,0.958969362698134,0.4193401468633097,0.3604515560376974,0.4673065528392492,0.7528963,0.78677356
0.9635742437954525,0.9636718185757619,0.9719845413248355,0.4388783911657975,0.4686687675214532,0.3631518127979199,0.7580307,0.79009324
0.9517718224080038,0.9636898006349729,0.9576643368599786,0.4270842238383146,0.49602449097506973,0.3781013893351649,0.7643066,0.80617917
0.9666300147099139,0.9631220392244719,0.9586433273294871,0.4903423437950371,0.36941900261476823,0.4251147461729166,0.75135255,0.7781649
0.9699820474195744,0.9564816479820296,0.9596382363432155,0.4694776653980962,0.40283468002252176,0.3852915599288971,0.74791193,0.7874769
