subj,Age,Sex,trial,resp,evidence,Confidence,criterion_fluctuations
954010,22,0,78,0,-32,6,-0.2021984
954010,22,0,79,1,64,5,-0.16982967
954010,22,0,80,0,-40,5,-0.15153895
954010,22,0,81,1,32,5,-0.12172345
954010,22,0,82,1,48,6,-0.10468665
954010,22,0,83,1,32,5,-0.10040289
954010,22,0,84,1,24,5,-0.111917354
954010,22,0,85,0,48,3,-0.13206705
954010,22,0,86,0,-64,6,-0.10478562
954010,22,0,87,1,40,6,-0.071538486
954010,22,0,88,0,-16,6,-0.05176107
954010,22,0,89,0,-48,6,-0.007244963
954010,22,0,90,1,40,6,0.04557844
954010,22,0,91,1,8,6,0.089859605
954010,22,0,92,1,32,6,0.10760867
954010,22,0,93,1,64,6,0.11848319
954010,22,0,94,0,-64,6,0.13363169
954010,22,0,95,1,24,5,0.14540845
954010,22,0,96,0,-48,6,0.14995869
954010,22,0,97,1,32,6,0.16415349
954010,22,0,98,0,-40,3,0.17254105
954010,22,0,99,1,16,6,0.19412611
954010,22,0,100,1,8,6,0.20664278
954010,22,0,101,1,56,6,0.20710075
954010,22,0,102,0,-64,6,0.20018835
954010,22,0,103,0,-24,6,0.2033669
954010,22,0,104,1,-8,6,0.23344912
954010,22,0,105,1,64,6,0.23494588
954010,22,0,106,0,-56,6,0.22930999
954010,22,0,107,1,-24,6,0.23585421
954010,22,0,108,0,-16,5,0.21219887
954010,22,0,109,1,-40,6,0.21153751
954010,22,0,110,1,16,4,0.16430038
954010,22,0,111,1,64,4,0.10922115
954010,22,0,112,0,-64,6,0.048502196
954010,22,0,113,0,-32,5,-0.0014054172
954010,22,0,114,0,-8,5,-0.03869977
954010,22,0,115,0,-24,5,-0.05178155
954010,22,0,116,1,56,5,-0.050704885
954010,22,0,118,0,-16,5,-0.0637099
954010,22,0,119,0,-56,5,-0.050940398
954010,22,0,120,1,40,6,-0.033874027
954010,22,0,121,1,24,5,-0.02696767
954010,22,0,122,0,-24,5,-0.03357312
954010,22,0,123,1,56,6,-0.026534915
954010,22,0,124,1,-16,5,-0.021251684
954010,22,0,125,0,40,3,-0.0526275
954010,22,0,126,1,-32,4,-0.034729213
954010,22,0,127,0,-56,6,-0.07161988
954010,22,0,128,0,48,6,-0.093197286
954010,22,0,129,0,-48,6,-0.061882325
954010,22,0,130,1,8,6,-0.022192733
954010,22,0,131,1,16,5,-0.011648916
954010,22,0,132,0,-48,5,-0.02025648
954010,22,0,133,1,56,6,-0.023257421
954564,20,0,1,1,56,6,0.75494164
954564,20,0,2,1,40,6,0.73417455
954564,20,0,3,0,-16,4,0.70996445
954564,20,0,4,1,-8,4,0.72247845
954564,20,0,5,0,32,4,0.71546155
954564,20,0,6,1,-32,4,0.783111
954564,20,0,7,1,-24,5,0.8142721
954564,20,0,8,1,-64,5,0.81459594
954564,20,0,9,0,-40,4,0.7619038
954564,20,0,10,1,-32,5,0.74949574
954564,20,0,11,0,-56,3,0.71108055
954564,20,0,12,1,32,5,0.70299715
954564,20,0,13,1,48,6,0.6799256
954564,20,0,14,0,-40,3,0.6522126
954564,20,0,15,1,-16,4,0.6687896
954564,20,0,16,1,-32,4,0.64784557
954564,20,0,17,0,-48,4,0.5979521
954564,20,0,18,0,8,2,0.5662564
954564,20,0,19,1,64,3,0.5927975
954564,20,0,20,1,-24,5,0.61984295
954564,20,0,21,0,-40,4,0.61022115
954564,20,0,22,1,-56,4,0.6346086
954564,20,0,23,1,48,6,0.6096124
954564,20,0,24,0,-48,5,0.58996844
954564,20,0,25,1,56,6,0.5995434
954564,20,0,26,1,8,6,0.59898996
954564,20,0,27,1,64,6,0.5832975
954564,20,0,28,1,16,5,0.5640608
954564,20,0,30,0,-56,6,0.52582383
954564,20,0,31,1,40,6,0.5191158
954564,20,0,32,1,-48,4,0.50149477
954564,20,0,33,0,-32,5,0.43131003
954564,20,0,34,1,-8,6,0.3968278
954564,20,0,36,1,8,6,0.32702813
954564,20,0,37,0,16,5,0.23533764
954564,20,0,38,0,-8,5,0.19287333
954564,20,0,39,0,32,5,0.18941732
954564,20,0,40,1,-64,6,0.25000048
954564,20,0,41,0,-64,5,0.25080636
954564,20,0,42,1,24,6,0.2587367
