mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.26626796,0.3683669,0.58437026,0.9632821,0.024975006,0.0077675264,0.2618304,-0.17104627,1.0167236,1.079982,1.0355182,0.00045827762,0.002819376,4.8236885e-05,5.4694552e-05,0.0034768854,0.0033481137,0.003478317,0.0018681437,0.0022292344,0.0018794163,0.23058099,0.31322718,0.2735921,0.4874119,0.46357128,0.73260516,0.9539591,0.9815403,0.012354655,0.03820426,-0.10476548,0.124200195,0.14847207,0.37171978,-0.29044914,-0.064617716,0.9365923,1.1020613,0.9928484,1.1761911,0.9491051,1.1201683,0.9638089,0.021272099,0.005418001,0.2677667,-0.16410851,1.0115203,1.0765543,1.0353699,144,344
0.2646186,0.50465256,0.575462,0.96963763,0.022863539,-0.011260413,0.2774668,-0.07882758,1.0672296,1.0260602,0.9744108,0.00047927242,0.0061070407,4.9987608e-05,6.4533335e-05,0.0036485898,0.0032845994,0.002763775,0.0021503682,0.0021373664,0.0018044825,0.21872373,0.30669847,0.37586394,0.6807056,0.45302585,0.70313334,0.9603283,0.9913746,0.011834225,0.04158556,-0.123444304,0.111472666,0.16099823,0.3872611,-0.18465635,0.015375089,0.9838287,1.1636204,0.93768305,1.1173732,0.89112914,1.0575787,0.96613663,0.020001793,-0.023159165,0.29271162,-0.07351158,1.0363337,1.0065839,0.9619297,144,344
0.30960482,0.43099666,0.58281666,0.9703919,0.041924883,0.010094429,0.19928482,-0.12674192,1.0341034,0.9910408,1.0112914,0.0012124944,0.0054328814,0.00014656111,0.0001459407,0.003362859,0.002984729,0.003217308,0.0020189176,0.0018122848,0.0019075922,0.2541128,0.38462496,0.30279317,0.5958896,0.4616121,0.72995746,0.95071745,0.9930358,0.023987364,0.065024585,-0.11195143,0.12068425,0.09148555,0.30974698,-0.23519939,-0.015274988,0.9496165,1.1207153,0.9131866,1.0774269,0.9295358,1.0976356,0.9648638,0.020388657,0.016538767,0.20426933,-0.13664027,0.9844271,0.971524,0.96437526,144,344
0.26357746,0.49448454,0.60065264,0.96648467,0.03484969,0.019914431,0.26236317,-0.09302599,0.9243012,1.0846953,1.0802959,0.0006739405,0.00904219,0.00013633237,7.9131634e-05,0.0030288452,0.003810579,0.0038718556,0.0016105236,0.0020758777,0.0020596425,0.22259967,0.3194948,0.3162793,0.67671114,0.4682109,0.74344164,0.9516474,0.99222744,0.020576904,0.052286055,-0.08307596,0.12763914,0.14746623,0.37961885,-0.2103895,0.028969236,0.84812236,1.0057997,0.99871427,1.1768382,0.9956248,1.1738195,0.9638423,0.021761337,0.0047579254,0.26010266,-0.082271874,0.9307379,1.0573839,1.0409526,144,344
0.22709133,0.36374947,0.46641895,0.98361224,0.03235633,0.061116237,0.19943693,-0.11896554,0.97012335,1.0230218,1.0326549,0.0003758655,0.009679284,5.3707052e-05,4.1387928e-05,0.0028056907,0.0033112727,0.0032893417,0.0016012985,0.00195687,0.0020177702,0.1937058,0.2653238,0.20577343,0.55479735,0.329452,0.6092435,0.9690705,0.99455667,0.018765299,0.044038385,-0.04246445,0.16607584,0.08857504,0.31630716,-0.22908558,-0.011931306,0.8953001,1.0464013,0.943166,1.1138434,0.94394684,1.1243477,0.9653842,0.0199048,0.049128067,0.20576577,-0.120413914,0.9941674,1.0044041,1.0127313,144,344
0.24080741,0.40482923,0.57327706,0.97123736,0.03409176,-0.040645905,0.18388514,-0.15283138,1.0005779,0.98749834,0.9741195,0.00058760145,0.0041917334,8.502248e-05,6.580112e-05,0.0030891993,0.0031309554,0.002827282,0.0018876501,0.0018820139,0.0016440803,0.20281082,0.2934445,0.293712,0.53947586,0.45151734,0.69915867,0.95834637,0.99263835,0.020267032,0.05337529,-0.1487799,0.061085064,0.07390599,0.2919209,-0.25581187,-0.045311872,0.9247277,1.0863979,0.9066435,1.0744574,0.8977195,1.0587922,0.96388865,0.02170411,-0.04231824,0.19818734,-0.15319769,1.0176997,0.9773453,1.0065929,144,344
0.26279822,0.4870005,0.5274717,0.9672771,0.031329993,-0.0050027813,0.18944287,-0.13582924,0.9997867,1.056075,1.0359104,0.0008098208,0.008159118,7.13844e-05,7.506348e-05,0.0033112399,0.003405568,0.0032489062,0.0017901768,0.0020214883,0.001995632,0.22364771,0.33178684,0.33783224,0.6842996,0.40515375,0.67832065,0.95588416,0.98843765,0.018286806,0.049342565,-0.119185664,0.106871136,0.07582276,0.30036858,-0.25930998,-0.026149476,0.91812027,1.0897895,0.96885335,1.1477197,0.9508067,1.1238843,0.967618,0.019157922,-0.030740995,0.17107724,-0.10976916,0.9881793,1.0015595,1.0210551,144,344
0.25001353,0.4526318,0.5276437,0.97117424,0.030619934,-0.07852133,0.20383939,-0.060192935,0.9559772,0.9933421,1.0371056,0.0003870103,0.0068873186,6.401422e-05,6.9291455e-05,0.0029034053,0.0031619035,0.0035396002,0.0017539025,0.001868708,0.0021483265,0.21618542,0.29147524,0.31483364,0.63331485,0.3905475,0.6812075,0.9596376,0.9903067,0.012701984,0.045000054,-0.17974868,0.022798127,0.08878918,0.31592348,-0.17806774,0.058081903,0.87468886,1.0431154,0.918229,1.0859921,0.9531433,1.1377409,0.9644388,0.020670678,-0.08506711,0.179071,-0.051980246,0.94838226,0.96096885,0.99639696,144,344
0.25672626,0.5411446,0.54931676,0.9642708,0.033289358,0.052579552,0.20189342,-0.020680523,1.0798184,1.0352907,1.0027765,0.0003887353,0.008334186,9.5672374e-05,7.997686e-05,0.0036997234,0.0032506706,0.0031656488,0.00207212,0.0019203657,0.0017524217,0.22666146,0.3063456,0.367873,0.7232365,0.4303477,0.68883693,0.9505433,0.990723,0.01938916,0.05353512,-0.071104236,0.16735642,0.09125959,0.31231484,-0.12925106,0.09217376,0.9915528,1.1699973,0.95604295,1.1244056,0.9320072,1.0836631,0.963818,0.021763502,0.07032944,0.18716082,-0.044227727,1.0434842,1.0359741,1.0090588,144,344
0.29395816,0.4957994,0.5448974,0.95859414,0.028828572,-0.11946533,0.1643239,-0.06497452,1.0438375,1.0366768,1.0176736,0.0009260423,0.015958019,2.9057333e-05,4.9811522e-05,0.0031859642,0.0035039766,0.0032211195,0.0018944398,0.0020201318,0.0019878228,0.25064728,0.3723231,0.22356105,0.72765857,0.41508642,0.7095173,0.9506869,0.9720524,0.016048666,0.043730255,-0.22414556,-0.006362759,0.049848538,0.28062546,-0.1725273,0.042783063,0.96109474,1.1293213,0.9550215,1.1290216,0.9335361,1.107823,0.9641062,0.02216794,-0.09047533,0.14686595,-0.042617775,0.99013925,1.0011345,0.96007854,144,344
