correlation,rmse,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq,generative_mu_x,estimated_mu_x
0.8101720118961497,1.5917699,0.9529066,0.95006645,1.0339582,0.25490084,-0.48138195,-0.026629243
0.7600353669319188,0.44293007,0.9777884,0.9511944,0.09289101,0.12965167,-0.20715451,-0.41187984
0.6661602765051041,0.6526459,0.95227677,0.94668174,0.16296005,0.13249348,0.10804984,0.18514894
0.5947914154810707,0.64121497,0.99421704,0.9603613,0.08971216,0.19498263,0.22543399,0.6260802
0.8953259384293867,0.55774426,0.9624357,0.96566045,0.18323728,0.20927644,0.44370148,-0.0100364955
0.6907081424322804,0.7867383,0.9928449,0.9740159,0.06947304,0.17282589,-0.9298944,-0.530137
0.9522546419098143,0.7370752,0.9776883,0.9719829,0.2104806,0.47496778,-0.39703974,0.14807393
0.7022747367574955,0.82108605,0.98610693,0.9821414,0.08719688,0.17232978,-1.5951725,-0.5434791
0.6338316855558235,0.62549084,0.9440776,0.9431887,0.09175593,0.16136016,0.4987671,0.50637066
0.7952616349168075,1.1532844,0.9749963,0.97017115,0.4253238,0.26842317,-0.120871186,-0.15337537
0.7068242102724861,0.8841024,0.9801603,0.9508456,0.1709988,0.1880405,0.33616382,0.04397202
0.6099951772365565,0.6960315,0.9464807,0.94926995,0.124079235,0.13841377,0.11941816,0.5678277
0.8470018487259867,0.5909535,0.9313744,0.950136,0.15650824,0.17907073,-0.20267646,-0.13012712
0.871264367816092,1.7789484,0.9791544,0.9689336,0.647971,0.6599642,-0.0292256,-0.025291437
0.6006349971867213,0.99518776,0.971428,0.96598536,0.21089803,0.13130467,0.7455037,-0.5123434
0.750341612410578,0.98655206,0.99218637,0.95835024,0.3278209,0.21687773,-0.11733486,0.27587095
0.856116871634113,1.9690247,0.9903732,0.9874836,0.20537405,0.40315282,-0.49463224,0.31600556
0.8664858130375372,0.5933774,0.9527831,0.9469164,0.07160018,0.18975544,-0.000137865,0.016004052
0.7731653404067197,0.66354483,0.9730472,0.95459163,0.16572343,0.13942991,0.29465258,-0.04657942
0.8326058998472793,1.2471551,0.9874876,0.98373616,0.32350892,0.22510292,0.27069965,0.38584012
0.767952736918254,0.92793757,0.9450063,0.9584978,0.21879216,0.20854463,0.018067684,0.124575764
0.65411542480508,0.87346256,0.9593782,0.94565153,0.2263407,0.1913069,-0.32577175,-0.20996787
0.7786512338236476,0.89317477,0.99382657,0.9556688,0.05511767,0.23606454,0.63202125,0.5118104
0.7014669238807171,0.4661325,0.92349446,0.94252044,0.086270995,0.22231558,0.44482476,0.22942337
0.7689856120890604,0.6398113,0.9543755,0.9475467,0.19163717,0.13436021,-0.38239762,0.09621708
0.5482999758861828,0.9964056,0.9532738,0.9762889,0.24236578,0.1768577,0.9519769,0.53307337
0.7928462342255446,0.9687974,0.97139555,0.9707222,0.09087558,0.19093971,0.3057224,0.098785244
0.7062816493850977,0.69636285,0.96831644,0.962207,0.12805893,0.24493961,0.29870424,-0.12953685
0.4923197492163009,0.6186509,0.95853204,0.94886404,0.097344436,0.11371423,0.18032613,0.13491428
0.7692990917128849,0.5659861,0.94119024,0.9433633,0.13320439,0.31676877,0.69794166,0.39326075
0.7859979101358413,1.1496748,0.9484745,0.9459986,0.4272464,0.3221217,-0.276675,0.099339545
0.8605940036974521,1.0213405,0.9899552,0.9701217,0.31387058,0.3691485,0.1626492,-0.34831557
0.8253878305602443,1.1366087,0.98125803,0.9704732,0.27170455,0.16469318,0.53794396,0.28839463
