correlation,rmse,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq,generative_mu_x,estimated_mu_x
0.7985286352460211,0.8821794,0.9722536,0.9662789,0.15038374,0.24817911,1.0059131,0.34628278
0.8949882245467179,0.83859426,0.9836905,0.9823115,0.32978082,0.21893857,0.8544608,0.26129603
0.8393847609113262,0.6510171,0.92301893,0.96240956,0.13868652,0.21350673,-0.22196,-0.085928395
0.6412928054733991,0.51300275,0.94776803,0.9400766,0.08217268,0.1573723,0.16225308,-0.037083965
0.7330253682461215,0.7105662,0.9705434,0.95254034,0.19205955,0.16662036,-0.30469394,-0.2120656
0.831562102153272,0.5179317,0.98410213,0.9504246,0.10021156,0.17876987,0.15224679,0.6262844
0.8597519218122859,0.8328047,0.9610072,0.9698374,0.13967088,0.22967952,-0.05022593,-0.31781414
0.6871869462540453,0.54899794,0.89186096,0.9416951,0.11077016,0.14632535,0.6911726,0.4546562
0.9116623959726978,0.9896855,0.99451596,0.98313046,0.15080775,0.2934944,0.15315926,0.023866238
0.8208938978208122,0.7927832,0.9407354,0.9453102,0.21124728,0.23507564,-0.085863724,0.19394693
0.9288328533526838,0.5177285,0.97564083,0.96762407,0.08566171,0.15378553,0.1566914,-0.37487844
0.40432598082884935,0.65246475,0.9416503,0.94085145,0.09333871,0.13552149,0.5252168,0.18560912
0.8312575924948088,0.6819984,0.9302738,0.9523825,0.15101743,0.19279222,0.09377291,0.2777314
0.9204802182103256,0.8680887,0.9808339,0.9672018,0.4219522,0.45605844,-0.9487039,-0.23898838
0.8688431548496403,0.84671104,0.93157154,0.9560916,0.33510005,0.33581147,-0.15732823,0.16495991
0.8893787679020905,0.87721497,0.9893194,0.9535599,0.44730872,0.49494636,-0.32991347,0.11145859
0.7058436699244881,0.47807083,0.96814805,0.9333713,0.119912304,0.18622379,0.016212007,0.06701243
0.9081754364368483,0.5480723,0.99106383,0.98101914,0.10256433,0.20797248,-0.6168893,0.120743096
0.5653338430090737,0.6507832,0.97875494,0.94500774,0.060778365,0.14902845,-0.7101162,0.10603928
0.7960225855461573,0.5086765,0.9502423,0.94336635,0.05410219,0.17166448,-0.080972806,0.19731036
0.5567570369266553,0.7592114,0.9535167,0.9491432,0.12632318,0.22283338,0.7115686,0.25481436
0.835454642638479,0.45123234,0.98413515,0.942763,0.07189005,0.14118066,-0.30828145,0.16940981
0.8221780215294807,0.6461751,0.96545494,0.9467043,0.16097613,0.15524422,0.4635509,0.061454404
0.6799577573835492,0.7223846,0.948167,0.9491048,0.100211196,0.14666946,-0.1987951,-0.40048444
0.8723495511722001,0.90837944,0.9795829,0.97192985,0.18884689,0.26777107,0.2221741,-0.5370356
0.8707194526600861,0.643579,0.97819835,0.95036405,0.063074745,0.2842755,-0.57772726,0.025433065
0.7152342294771828,0.87796676,0.9600025,0.9560263,0.17549023,0.23091617,-0.8292527,-0.4463934
0.8630613586961803,0.59111285,0.9644046,0.9526828,0.13529322,0.18426062,0.6722955,0.3053207
0.9606003375521958,0.9403913,0.9811258,0.98214555,0.22458617,0.26499033,0.6529611,0.086145274
0.6251641598610918,0.66847837,0.9674836,0.9496252,0.1157111,0.12559834,0.1911758,0.6225604
0.9092431639201406,0.6864118,0.9896374,0.9597355,0.09186646,0.1415063,0.52159077,0.5568964
0.5623250284263005,0.89347446,0.9714547,0.9556133,0.20356618,0.18305326,0.21482724,0.44676188
0.8194490966753376,0.80503047,0.9655068,0.9598148,0.13269244,0.22407255,-0.019390339,0.10703231
0.9407009553180667,0.7934207,0.9878323,0.9861813,0.17984954,0.19293338,-0.30724302,0.38127178
0.7656636204902605,1.0562168,0.9823527,0.9710813,0.19315204,0.34566665,-0.72547835,-0.6121101
