IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
1235523,0.89942396,0.10432906,1.0803156,0.34900543,0.28602856,0.04905276
1235525,0.88912165,0.0666563,-0.009285408,0.16528462,0.1284174,0.025088064
1235526,0.91080433,0.10267519,-1.718225,0.31987748,0.25759378,0.03430663
1235527,0.89242315,0.08598868,-0.12866595,0.28703162,0.21665037,0.040774178
1235528,0.90160185,0.09491521,-0.81180674,0.3622772,0.2919873,0.04023586
1235532,0.8953805,0.15406708,0.3313872,0.45143664,0.3443462,0.0628825
1235533,0.8992065,0.093644865,-0.18367961,0.2884781,0.2284969,0.032571293
1235534,0.9020422,0.13634282,-0.7165816,0.40005928,0.329725,0.0477376
1235538,0.8916195,0.0950315,0.38362262,0.24942711,0.20029001,0.043515764
1235539,0.9030765,0.10219811,0.42562827,0.43496668,0.35728562,0.04871391
1235541,0.9184748,0.09801522,-1.1163236,0.5040965,0.41687107,0.03994246
1235542,0.89482886,0.12747489,-0.05718711,0.34988806,0.28271568,0.056549326
1235543,0.89402634,0.083272,-0.50028604,0.2071945,0.17652032,0.025429245
1235545,0.8892797,0.091127515,-0.16115826,0.28471532,0.23964186,0.041303113
1235547,0.8936275,0.08546953,0.19512148,0.24332006,0.19430019,0.031244533
1235548,0.89883757,0.0859277,0.04870459,0.34600276,0.28891978,0.033522647
1235550,0.9073254,0.15599273,-0.22534472,0.57762915,0.50757456,0.06246725
1235555,0.90681255,0.28214654,-1.2050925,0.68771976,0.5787949,0.097406164
1235557,0.88772,0.057168383,0.089160524,0.16125034,0.1225876,0.024600687
1235558,0.8975679,0.08630641,-0.62912256,0.31454697,0.25104225,0.037187465
1235562,0.89424354,0.0852654,-0.5558786,0.24138145,0.20255242,0.028879523
1235563,0.89364874,0.12266767,-0.188182,0.34331656,0.29316947,0.052131232
1235569,0.89599895,0.07878716,-0.4796698,0.26210684,0.20077586,0.03599011
1235570,0.8978736,0.09763683,-0.50455457,0.36715892,0.30118936,0.039605796
1235571,0.9113807,0.14759545,-0.68091726,0.5978142,0.47630146,0.056345385
1235572,0.91797847,0.40110287,-1.1061655,1.1609168,0.9078881,0.14240752
1235577,0.89809805,0.09295614,-0.06440031,0.29648575,0.24657246,0.031260427
1235580,0.91238517,0.14657772,-0.5804551,0.67720884,0.5369593,0.059140608
1235597,0.90231663,0.113320805,0.55873156,0.42770505,0.382427,0.046053365
1235624,0.90889233,0.115469396,-1.102358,0.43907046,0.3737522,0.045116715
1235627,0.89253116,0.064180285,-0.0027014806,0.15250368,0.12725283,0.021708293
1235662,0.90478456,0.112593345,0.4172199,0.41587907,0.32760796,0.044205587
1235663,0.9235815,0.12599103,-1.987747,0.4925318,0.38517043,0.048480846
1235669,0.9015366,0.109450765,-0.714828,0.35685042,0.28025982,0.034905087
1235673,0.89932877,0.17822453,-0.41492534,0.5654437,0.4644433,0.07297092
1235695,0.9011768,0.13650931,-0.44810295,0.44696385,0.3773443,0.054460257
1235716,0.89688015,0.14015359,0.18734579,0.41557574,0.3169222,0.05205298
1235747,0.89446473,0.0781446,-0.35616493,0.24955635,0.21140239,0.032283742
1235752,0.8948642,0.08222231,-0.606811,0.26531607,0.2179807,0.03829108
