IDcode,Age,Sex,Trial,Response,Stimulus,Confidence
4676165,67,1,98,1,24,1
4676165,67,1,99,1,-8,1
4676165,67,1,100,0,-32,2
4676165,67,1,101,1,64,2
4676165,67,1,102,0,-40,2
4676165,67,1,103,1,72,4
4676165,67,1,104,1,64,3
4676165,67,1,105,1,8,2
4676165,67,1,106,1,16,2
4676165,67,1,107,1,56,2
4676165,67,1,108,1,72,3
4676165,67,1,109,0,8,1
4676165,67,1,110,0,24,1
4676165,67,1,111,1,16,1
4676165,67,1,112,1,-48,1
4676165,67,1,113,1,64,1
4676165,67,1,114,1,48,2
4676165,67,1,115,0,0,2
4676165,67,1,116,0,0,1
4676165,67,1,117,0,-64,4
4676165,67,1,118,1,8,1
4676165,67,1,119,1,-24,1
4676165,67,1,120,0,-40,3
4676165,67,1,121,0,-24,1
4676165,67,1,122,1,40,3
4676165,67,1,123,0,-24,3
4676165,67,1,124,1,-32,1
4676165,67,1,125,1,16,1
4676165,67,1,126,1,-48,1
4676165,67,1,127,0,-72,4
4676165,67,1,128,1,-8,1
4676165,67,1,129,0,40,1
4676165,67,1,130,0,-8,1
4676165,67,1,131,1,24,1
4676165,67,1,132,1,32,4
4676165,67,1,133,1,32,4
4676165,67,1,134,1,48,4
4676165,67,1,135,0,-56,1
4676165,67,1,136,1,72,4
4676165,67,1,137,0,-16,2
4676165,67,1,138,0,-64,3
4676165,67,1,139,0,-56,1
4676165,67,1,140,0,-24,2
4676165,67,1,141,1,40,4
4676165,67,1,142,1,56,4
4676165,67,1,143,0,-72,4
4676165,67,1,144,1,16,1
4676165,67,1,145,0,-32,4
4676165,67,1,146,1,-8,4
4676165,67,1,147,1,64,4
4676165,67,1,148,1,8,2
4676165,67,1,149,0,-64,2
4676165,67,1,150,0,-40,1
4676165,67,1,151,1,72,4
4676165,67,1,152,1,24,4
4676332,28,1,1,1,32,5
4676332,28,1,2,0,64,4
4676332,28,1,3,1,-48,3
4676332,28,1,4,0,-24,3
4676332,28,1,5,0,-72,3
4676332,28,1,6,1,-72,3
4676332,28,1,7,0,-56,4
4676332,28,1,8,1,56,6
4676332,28,1,9,1,-56,3
4676332,28,1,10,1,40,4
4676332,28,1,11,0,16,3
4676332,28,1,12,1,64,4
4676332,28,1,13,0,-24,2
4676332,28,1,14,1,72,6
4676332,28,1,15,0,-64,5
4676332,28,1,16,1,-8,4
4676332,28,1,17,0,-64,5
4676332,28,1,18,0,24,3
4676332,28,1,19,1,-8,3
4676332,28,1,20,0,-64,6
4676332,28,1,21,0,-40,3
4676332,28,1,22,1,56,5
4676332,28,1,23,1,64,6
4676332,28,1,24,1,-8,3
4676332,28,1,25,1,32,5
4676332,28,1,26,1,0,3
4676332,28,1,27,0,-56,6
4676332,28,1,28,1,72,4
4676332,28,1,29,0,-40,4
4676332,28,1,30,0,-16,4
4676332,28,1,31,0,-64,6
4676332,28,1,32,1,16,3
4676332,28,1,33,0,-40,4
4676332,28,1,34,1,48,5
4676332,28,1,35,1,64,6
4676332,28,1,36,0,-16,2
4676332,28,1,37,1,48,3
4676332,28,1,38,1,32,2
4676332,28,1,39,1,8,5
4676332,28,1,40,1,-8,5
4676332,28,1,41,1,56,5
4676332,28,1,42,1,72,5
4676332,28,1,43,1,24,3
4676332,28,1,44,1,40,3
4676332,28,1,45,0,-32,2
4676332,28,1,46,1,40,5
4676332,28,1,47,1,24,3
4676332,28,1,48,0,-32,6
4676332,28,1,49,1,0,4
4676332,28,1,50,1,48,3
4676332,28,1,51,0,-40,6
4676332,28,1,52,0,32,3
4676332,28,1,53,1,16,5
4676332,28,1,54,0,-48,5
4676332,28,1,55,1,8,3
4676332,28,1,56,1,48,3
4676332,28,1,57,0,-48,6
4676332,28,1,58,0,16,2
4676332,28,1,59,0,-48,6
4676332,28,1,60,0,-24,5
4676332,28,1,61,0,0,4
4676332,28,1,62,0,-24,6
4676332,28,1,63,1,56,6
4676332,28,1,64,0,-32,4
4676332,28,1,65,0,-16,5
4676332,28,1,66,1,8,6
4676332,28,1,67,1,40,5
4676332,28,1,68,1,24,4
4676332,28,1,69,0,8,3
4676332,28,1,70,1,0,5
4676332,28,1,71,0,-16,1
4676332,28,1,72,0,-56,6
4676332,28,1,73,0,-32,6
4676332,28,1,74,1,72,6
4676332,28,1,75,0,-72,6
